"area";"sexo";"nota"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"3077-3468"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"3077-3468"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"3077-3468"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"3077-3468"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"3077-3468"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"3077-3468"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"3077-3468"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2687-3077"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"2297-2687"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"1907-2297"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"3077-3468"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"3077-3468"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"3077-3468"
"CIÊNCIAS SOCIAIS APLICADAS";"M";"3077-3468"
"CIÊNCIAS SOCIAIS APLICADAS";"F";"3077-3468"
