curso;area
BACHARELADO EM ADMINISTRAÇÃO;CIÊNCIAS SOCIAIS APLICADAS
BACHARELADO EM AGRONOMIA;CIÊNCIAS AGRÁRIAS
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;CIÊNCIAS EXATAS E DA TERRA
BACHARELADO EM CIÊNCIA E TECNOLOGIA DE ALIMENTOS;CIÊNCIAS AGRÁRIAS
BACHARELADO EM CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS
BACHARELADO EM ENGENHARIA AGRÍCOLA;ENGENHARIAS
BACHARELADO EM ENGENHARIA AMBIENTAL;ENGENHARIAS
BACHARELADO EM ENGENHARIA CIVIL;ENGENHARIAS
BACHARELADO EM ENGENHARIA ELÉTRICA;ENGENHARIAS
BACHARELADO EM ENGENHARIA DA COMPUTAÇÃO;ENGENHARIAS
BACHARELADO EM ENGENHARIA DE COMPUTAÇÃO;ENGENHARIAS
BACHARELADO EM ENGENHARIA DE ALIMENTOS;ENGENHARIAS
BACHARELADO EM MEDICINA VETERINÁRIA;CIÊNCIAS AGRÁRIAS
BACHARELADO EM SISTEMAS DE INFORMAÇÃO;CIÊNCIAS EXATAS E DA TERRA
BACHARELADO EM ZOOTECNIA;CIÊNCIAS EXATAS E DA TERRA
LICENCIATURA EM CIÊNCIAS BIOLÓGICAS;CIÊNCIAS AGRÁRIAS
LICENCIATURA EM CIÊNCIAS NATURAIS;CIÊNCIAS EXATAS E DA TERRA
LICENCIATURA EM MATEMÁTICA;CIÊNCIAS EXATAS E DA TERRA
LICENCIATURA EM PEDAGOGIA;CIÊNCIAS HUMANAS
LICENCIATURA EM QUÍMICA;CIÊNCIAS EXATAS E DA TERRA
TECNOLOGIA EM AGROECOLOGIA;CIÊNCIAS AGRÁRIAS
TECNOLOGIA EM AGRONEGÓCIO;CIÊNCIAS AGRÁRIAS
TECNOLOGIA EM ALIMENTOS;CIENCIAS EXATAS E DA TERRA
TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;CIENCIAS EXATAS E DA TERRA
TECNOLOGIA EM GESTÃO COMERCIAL;CIÊNCIAS SOCIAIS APLICADAS
TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;CIÊNCIAS SOCIAIS APLICADAS
TECNOLOGIA EM HORTICULTURA;CIENCIAS AGRÁRIAS
TECNOLOGIA EM SANEAMENTO AMBIENTAL;ENGENHARIAS
TECNOLOGIA EM SISTEMAS PARA INTERNET;CIENCIAS EXATAS E DA TERRA
