campus;curso;vagas
0;Bacharelado em Agronomia;15
0;Bacharelado em Administração;15
0;Bacharelado em Ciências Biológicas;15
0;Bacharelado em Ciência da Computação;10
0;Bacharelado em Engenharia Ambiental;15
0;Bacharelado em Engenharia de Alimentos;15
0;Bacharelado em Engenharia Civil;15
0;Bacharelado em Zootecnia;15
0;Licenciatura em Ciências Biológicas;15
0;Licenciatura em Química;15
0;Tecnologia em Saneamento Ambiental;15
1;Bacharelado em Agronomia;12
1;Licenciatura em Química;9
1;Tecnologia em Agronegócio;12
1;Tecnologia em Análise e Desenvolvimento de Sistemas;12
2;Bacharelado em Agronomia;12
2;Bacharelado em Ciência da Computação;12
2;Bacharelado em Zootecnia ;12
2;Licenciatura em Química;12
2;Licenciatura em Pedagogia;12
2;Tecnologia em Alimentos;12
2;Tecnologia em Sistemas para Internet;9
3;Bacharelado em Agronomia;12
3;Bacharelado em Ciência e Tecnologia de Alimentos;12
3;Bacharelado em Engenharia Agrícola;12
3;Bacharelado em Medicina Veterinária;12
3;Bacharelado em Sistemas de Informação;12
3;Licenciatura em Ciências Biológicas;12
3;Licenciatura em Química;12
3;Licenciatura em Matemática;12
3;Tecnologia em Gestão da Tecnologia da Informação;12
4;Tecnologia em Agroecologia;12
5;Bacharelado em Administração;10
5;Bacharelado em Zootecnia;12
6;Tecnologia em Horticultura;12
7;Bacharelado em Agronomia;12
7;Bacharelado em Sistemas de Informação;12
7;Bacharelado em Zootecnia;12
7;Licenciatura em Ciências Biológicas;12
7;Licenciatura em Química;12
8;Bacharelado em Agronomia;12
8;Bacharelado em Administração;12
9;Bacharelado em Engenharia Civil;12
9;Bacharelado em Engenharia da Computação;12
9;Bacharelado em Engenharia Elétrica;12
10;Tecnologia em Gestão Comercial;12
11;Licenciatura em Ciências Naturais;12
